AreaZone,IntersectionType,CollisionType,Municipality,Latitude,Longitude,RoadCategory,RoadNumber,TrafficRegime,NrOfTrafficLanes,UpstreamTerminalNumber,DistanceToPR,AccidentSituation,StruckWithFixedObject,StruckWithMovingObject,InitialShockPoint
1,1,5,632,4955583,287889,3,57,2,2,14,200,1,0,2,1
1,1,2,471,,,2,118,3,2,10,0,1,3,2,4
2,1,2,120,,,4,0,1,1,,,1,0,2,5
2,2,3,118,,,4,0,1,2,,,1,0,2,2
2,2,3,17,,,4,,3,2,1009,0,1,0,2,3
2,3,2,63,,,4,0,2,2,,,0,0,2,4
2,2,3,111,,,4,0,1,1,,,1,0,2,7
2,2,3,229,,,4,0,2,2,,,1,0,2,7
1,1,6,93,0,0,3,97,2,2,13,310,3,2,0,7
1,1,3,51,4388588,-38372,3,1,2,2,10,200,1,0,2,8
2,1,2,55,0,0,3,1,2,0,0,0,1,0,6,6
1,2,3,104,4805000,270000,3,40,2,2,3,400,1,0,2,8
1,1,6,378,0,0,3,86,2,2,25,20,1,8,0,7
2,1,6,383,,,4,0,2,4,,,1,0,1,2
2,1,3,378,,,4,0,3,4,,,1,0,2,3
2,1,6,281,,,4,0,2,2,,,1,6,0,6
1,1,1,243,0,0,4,4,1,1,0,0,1,0,2,1
1,1,6,36,0,0,3,215,2,2,1,100,1,2,0,8
2,1,2,246,,,4,0,0,2,0,0,1,1,2,6
1,3,1,431,,,4,0,0,2,,,1,0,2,1
2,1,1,27,,,4,0,2,2,,,1,0,2,2
1,1,3,24,0,0,3,54,2,0,0,0,1,0,2,6
2,1,6,280,4901980,246620,4,,2,2,,,1,0,1,1
2,1,6,599,,,9,0,1,2,,,1,0,1,3
2,1,6,1,,,4,0,2,2,,,1,0,1,2
1,1,3,7,4,0,3,45,2,2,1,25,1,0,2,8
1,1,7,73,4877110,238978,1,86,3,3,32,186,2,6,0,7
1,1,7,404,4931400,246800,9,0,0,0,0,0,0,0,0,0
2,1,6,60,,,4,0,1,0,0,0,1,0,1,8
1,1,6,672,,,3,0,2,2,5,250,1,13,0,1
2,1,6,555,,,4,0,2,4,,,1,0,1,2
2,1,6,137,,,4,0,2,2,,,1,0,1,1
2,1,6,55,,,4,0,1,0,0,0,1,0,0,1
2,1,3,8,4,0,3,40,3,2,0,0,1,1,2,7
2,1,2,172,4360763,386978,4,0,1,2,,,1,0,2,4
2,3,7,13,,,4,,2,4,1009,0,1,0,0,0
2,9,6,95,4,0,3,42,2,2,2,260,1,0,1,7
2,3,3,23,,,4,0,2,2,,,1,0,2,7
1,1,6,167,,,2,230,1,3,39,200,1,0,0,9
2,2,6,103,,,4,0,1,0,,,1,0,1,3
2,1,3,55,,,4,1,3,2,,,1,0,2,3
2,3,2,477,,,4,0,1,1,,,1,0,2,3
1,1,1,196,4571592,640792,3,129,2,2,3,500,1,0,2,3
2,1,3,344,4355995,407958,4,0,2,2,0,0,1,0,2,3
1,2,3,13,0,0,3,3,2,2,3,0,1,0,2,8
1,1,3,38,4878170,234702,1,6,3,4,4,100,1,0,2,7
2,2,6,357,,,4,0,2,3,,,1,0,2,7
2,1,6,55,,,4,0,2,2,,,1,0,2,2
2,3,3,71,,,4,0,0,0,,,1,3,0,7
1,1,6,5,4670390,187860,3,943,2,2,30,650,3,13,0,9
2,1,6,108,4887050,258843,3,934,1,2,1,558,1,0,1,1
2,1,3,13,,,4,,2,4,2009,181,1,0,2,5
1,1,3,5,,,6,0,1,2,0,0,1,0,0,8
1,1,2,254,4859341,-383589,2,12,3,4,19,380,1,1,2,6
2,1,3,55,4331744,538991,4,0,2,1,,,1,0,2,8
2,6,6,109,,,4,0,2,2,1,0,1,0,1,1
2,2,3,688,4875670,205162,4,0,0,1,0,0,1,0,2,3
2,1,2,18,,,4,0,2,2,,,1,0,2,6
2,1,3,185,,,4,0,2,2,,,1,0,2,2
1,1,3,136,4,0,3,1,2,2,41,800,0,0,0,3
2,3,3,14,,,4,0,2,2,,,1,0,2,1
1,1,4,291,,,2,0,2,4,0,1,1,0,2,4
2,2,2,112,,,4,0,2,2,,,1,0,0,0
2,1,3,125,4,0,3,928,2,2,0,0,1,9,2,9
2,1,7,109,,,4,0,0,1,,,0,0,0,7
1,1,6,458,4882200,774600,3,919,2,0,0,0,1,0,1,3
1,1,6,43,,,1,25,3,4,30,800,1,3,2,4
1,1,1,111,4763100,-239600,4,201,0,2,0,0,1,0,0,3
2,3,3,147,4904400,-144613,4,552,2,2,0,0,1,0,2,3
1,1,3,215,,,4,0,2,2,,,1,0,2,2
2,1,6,540,4878770,-150647,3,973,2,2,8,71,4,0,1,5
1,1,6,65,,,2,82,2,2,26,400,3,2,0,1
2,1,3,113,,,4,0,2,4,,,1,0,2,8
2,2,6,498,,,3,30,2,2,19,1,1,0,1,0
1,1,2,238,,,2,0,3,2,,,1,0,2,4
2,1,1,537,4951000,291600,3,1032,3,2,0,0,1,9,2,3
1,1,7,498,,,1,21,1,0,9,0,1,0,0,0
1,1,6,143,0,0,3,613,2,3,54,500,1,13,0,3
2,1,6,115,,,4,0,1,1,,,1,0,1,1
2,9,6,4,0,0,2,193,2,2,0,623,1,0,1,2
1,1,1,222,0,0,3,902,2,2,10,800,1,0,2,7
2,1,4,85,,,4,0,3,4,0,0,1,0,2,4
2,1,3,26,4890000,225955,4,0,2,2,0,0,1,0,2,3
1,1,7,108,4506600,535000,3,531,2,2,9,300,3,0,0,9
1,1,7,229,4512790,142864,3,152,2,2,5,661,1,0,0,0
2,3,3,261,,,4,0,1,1,,,1,0,2,7
1,1,3,172,0,0,2,23,2,0,47,50,1,0,2,8
2,1,6,1,,,4,,1,2,3009,1,1,0,2,6
2,1,6,105,,,4,0,0,2,,,1,0,1,4
1,9,3,329,,,3,63,2,3,1,760,1,0,2,3
2,1,1,21,,,4,0,2,2,,,1,0,2,1
2,1,6,480,4910319,615367,4,,2,2,,,1,0,1,2
2,2,3,229,,,4,0,2,2,,,1,0,2,2
2,3,2,290,,,4,0,2,2,,,1,0,2,4
2,3,6,112,4884700,240858,4,,2,6,,,1,0,1,2
2,1,6,414,,,4,0,2,2,,,1,1,1,1
2,4,3,440,,,3,935,2,2,,,1,0,9,7
2,2,3,121,4775656,-337270,4,0,2,2,,,1,0,2,3
2,1,2,88,4694600,198500,2,918,2,2,0,0,1,1,0,4
1,1,6,271,0,0,3,930,2,0,0,0,3,2,0,1
2,1,6,88,,,4,0,1,1,,,1,0,1,0
2,1,6,175,4926219,246293,4,,0,0,,,0,0,1,0
2,1,4,547,,,4,0,2,2,,,1,0,2,4
1,1,4,498,,,1,21,3,4,11,100,0,0,0,0
2,2,3,7,4748335,-52677,4,0,2,2,,,1,0,2,7
1,9,6,268,4847234,-432595,2,12,0,0,0,0,1,4,0,3
2,1,6,19,4838732,-452358,6,0,0,2,,,0,0,1,4
2,2,4,231,,,4,0,2,2,,,1,0,2,4
2,2,3,110,,,4,0,1,2,,,0,0,2,6
2,3,3,580,,,3,0,2,2,,,1,0,2,5
2,1,6,11,,,4,0,2,2,,,0,0,1,7
2,1,7,131,,,3,934,2,2,42,359,1,0,0,8
1,1,7,31,4837500,-352600,3,97,2,2,0,0,1,13,0,2
